OverallQual,GrLivArea,GarageCars,MSSubClass,YrSold,OverallCond,SalePrice
4,960,1,20,2007,5,94750
6,1505,2,20,2009,4,149500
6,1855,1,50,2006,4,136900
5,1968,2,60,2008,4,172000
7,1314,2,120,2009,5,230000
5,1268,1,20,2010,6,132000
7,999,2,85,2008,9,178400
5,1002,2,20,2009,6,148500
7,1971,2,60,2009,5,253000
6,1092,2,20,2008,7,145000
7,1922,2,85,2009,5,198500
9,1668,3,20,2007,5,285000
8,2285,3,60,2007,5,248000
8,1704,3,20,2010,5,306000
7,1978,2,60,2008,5,176000
6,1764,2,60,2009,5,231500
6,1032,2,80,2007,6,148000
9,1850,3,20,2006,5,326000
6,1548,2,160,2007,6,155000
10,4316,3,60,2007,6,755000
5,1109,1,80,2007,7,139000
5,1060,1,20,2010,8,154000
7,1820,2,60,2008,6,201800
5,894,2,20,2009,5,123000
6,1552,2,60,2006,6,179900
5,914,2,85,2006,5,148000
7,2031,2,60,2008,5,222500
4,1005,2,20,2009,5,115000
5,902,1,20,2007,6,125500
6,1208,2,20,2006,6,165000
7,1767,2,160,2006,7,239000
5,1111,1,50,2008,6,95000
5,1148,1,20,2009,5,132500
5,1008,1,20,2006,6,137000
6,1602,2,20,2009,7,215000
9,1944,3,20,2006,5,360000
7,2057,1,50,2006,7,250000
8,1269,2,120,2010,5,192000
6,1610,2,20,2010,7,205000
7,2263,2,60,2006,7,235000
6,1688,2,60,2008,5,200000
5,1437,2,20,2007,8,218000
6,1682,2,60,2010,5,200500
7,1894,2,60,2010,5,214900
6,1617,2,120,2008,5,193000
6,1383,1,20,2006,5,145250
5,768,1,85,2009,8,133900
5,1464,2,80,2009,6,175000
7,2127,3,60,2007,5,238000
5,1236,1,20,2006,7,135000
8,1908,2,60,2010,5,202900
8,1694,2,20,2007,5,307000
8,1228,2,120,2008,5,189000
6,1261,2,20,2008,6,163000
7,1477,1,50,2009,7,145000
4,924,1,190,2010,4,80000
8,2374,3,60,2007,5,285000
6,1502,1,70,2007,7,165000
6,1309,2,20,2006,6,181000
7,1710,2,20,2009,5,240000
8,2098,3,60,2006,5,275500
5,894,1,20,2010,8,138500
7,1724,2,60,2008,5,188000
5,1048,2,20,2008,5,98300
5,912,1,20,2010,5,125000
8,1694,3,20,2010,5,245350
6,1593,2,60,2009,5,178000
6,2108,2,70,2008,7,235000
8,1601,2,20,2010,5,272000
6,1362,2,20,2008,5,163000
8,2132,2,50,2009,8,316600
7,1135,2,70,2009,9,155000
7,1744,2,60,2010,7,194500
6,1262,2,20,2007,8,181500
3,1040,2,90,2006,4,87500
7,1710,2,60,2008,5,208500
8,1634,3,20,2007,5,250000
6,2872,2,60,2008,7,272000
8,2622,2,60,2010,5,325000
4,861,2,30,2009,5,82500
5,1385,2,50,2010,4,166000
7,1430,2,20,2009,5,187100
7,2090,2,160,2007,5,207500
9,1752,2,120,2010,5,319900
6,1639,1,50,2008,5,115000
8,1494,2,120,2006,5,270000
7,1839,2,60,2010,5,221000
9,2224,3,60,2009,5,350000
6,1564,2,60,2010,6,171000
5,1327,2,20,2007,6,150750
6,1494,2,20,2006,5,217000
5,925,1,20,2009,6,117500
8,2715,2,60,2008,9,299800
5,1656,1,50,2009,7,135000
7,1949,2,60,2010,5,236000
6,1658,2,60,2008,5,188000
7,1501,2,20,2009,5,204000
5,943,2,90,2006,5,135960
5,1728,1,90,2007,4,119000
6,1501,2,60,2006,5,165600
7,2090,2,60,2009,6,200000
7,2730,2,60,2007,5,301000
8,2448,3,60,2009,7,402000
7,1964,2,60,2008,6,205000
5,1314,1,20,2010,6,145000
6,2654,2,60,2006,7,250000
8,2263,2,60,2008,5,287000
6,1252,2,20,2008,7,235000
7,2978,2,80,2010,7,242000
6,1710,2,60,2008,5,187000
6,1571,2,60,2009,7,178000
5,860,2,85,2009,6,137000
7,1145,2,120,2009,5,160200
8,1456,2,120,2006,5,215000
7,1431,2,20,2009,5,192000
6,2267,2,60,2009,5,200000
7,1560,2,20,2010,5,201000
5,1437,2,20,2006,6,168000
5,1164,1,190,2008,5,125000
5,796,0,30,2008,7,85000
7,1442,2,20,2007,5,179900
5,1041,1,20,2009,6,124500
5,1700,2,20,2010,5,165500
7,1320,2,60,2007,5,162000
6,1382,2,80,2009,5,176000
6,1426,2,60,2009,6,159500
6,981,2,20,2007,5,143250
8,1616,2,120,2010,5,236500
6,2614,2,60,2008,7,240000
8,2630,3,60,2008,5,315000
5,672,1,30,2008,8,108000
5,1466,2,20,2006,4,149900
5,1347,0,190,2008,7,107500
6,1638,2,60,2008,5,192000
5,900,1,20,2010,5,122000
8,2727,2,70,2007,8,315000
7,1226,3,20,2010,5,198900
5,1110,2,85,2009,6,165500
7,1626,2,160,2009,5,173000
5,1097,2,20,2009,5,145000
7,1776,2,60,2006,5,192500
8,1719,2,120,2008,5,324000
5,1721,2,20,2006,6,180000
7,1146,2,80,2007,5,187500
7,1792,2,60,2008,5,231500
7,2398,3,60,2007,5,315750
7,2013,2,60,2007,5,269790
6,1721,2,60,2007,5,201000
8,1518,2,120,2008,5,274000
6,1493,2,20,2008,5,208900
7,1682,2,20,2008,6,174000
6,1516,2,20,2009,6,167000
6,1484,2,60,2009,5,174000
8,2262,3,60,2008,5,305000
7,1479,2,20,2008,5,191000
5,893,2,45,2007,7,135000
6,1196,1,20,2008,5,139000
7,1734,2,20,2006,5,260000
7,1728,2,60,2009,5,190000
6,1728,2,90,2006,5,150900
4,747,2,30,2006,5,79900
5,1484,2,20,2007,6,175000
5,1113,1,20,2009,7,147000
3,729,0,30,2008,6,52000
5,1786,2,190,2008,6,228950
5,1576,2,70,2009,6,223500
6,1004,2,90,2006,5,135000
7,1217,2,80,2009,5,173000
8,2704,2,80,2009,7,345000
5,2320,2,60,2006,6,169000
4,864,2,20,2010,5,141000
5,768,2,85,2007,7,129500
7,1459,2,20,2007,5,192000
8,2473,3,60,2007,5,317000
7,1555,3,120,2009,5,174000
7,1337,2,20,2007,5,185000
5,980,2,20,2009,6,135000
6,1694,2,50,2008,5,136500
5,1728,2,90,2008,5,142600
8,2531,3,60,2007,5,290000
5,950,1,20,2007,5,119500
6,1394,2,20,2009,5,159000
6,1960,2,60,2010,5,216500
5,1306,1,20,2009,7,153000
7,1716,2,60,2009,5,191000
6,1414,2,20,2008,8,176500
7,1626,2,160,2008,5,154000
4,990,0,20,2007,5,123600
5,1647,2,20,2006,6,217500
9,1620,3,20,2009,5,315500
7,1801,2,20,2010,8,289000
7,1504,2,120,2009,5,181000
7,1436,2,20,2008,5,210000
8,2468,3,60,2007,5,354000
6,1640,2,60,2008,5,173000
5,1505,1,50,2008,5,145000
8,1795,2,20,2008,5,230000
4,845,2,20,2007,6,129500
6,1456,2,160,2010,5,146000
6,1470,2,60,2009,8,185000
5,827,1,20,2010,7,107500
6,1113,1,20,2007,7,148000
6,1095,1,190,2006,5,140000
4,1029,1,20,2007,5,118500
9,1792,3,20,2006,5,374000
7,1349,2,20,2007,5,179000
7,1253,2,20,2007,5,176000
5,910,2,20,2008,7,116000
6,1116,2,20,2010,6,160000
5,1144,1,80,2006,6,143000
8,2217,2,20,2007,6,268000
9,2184,3,60,2009,5,335000
6,1632,1,20,2009,6,139000
5,899,1,20,2009,7,130000
6,1604,2,60,2008,5,181000
6,1348,2,60,2006,5,155000
5,1228,1,20,2008,6,149350
5,1800,0,90,2007,4,141000
5,1144,1,20,2010,6,129000
8,2452,2,60,2007,5,267000
7,1363,2,20,2008,7,241500
6,972,1,20,2009,6,132000
6,1094,2,20,2008,5,155000
5,864,1,20,2009,5,62383
7,1850,2,60,2009,6,248000
6,1080,2,20,2007,5,134000
7,1500,2,20,2009,5,190000
9,2504,3,60,2008,5,325000
5,1632,2,90,2007,4,143000
5,864,1,20,2009,8,136500
6,1743,2,60,2007,6,175000
6,1680,2,20,2009,9,222000
5,1319,1,20,2009,6,123000
9,2643,3,60,2007,5,380000
6,1647,1,70,2010,4,128000
5,1620,2,60,2007,5,152000
9,1922,3,20,2007,5,377426
7,2243,3,60,2007,5,225000
6,2144,2,50,2007,7,277000
7,1959,2,60,2007,5,215000
6,1574,2,60,2006,5,190000
4,1510,1,70,2009,5,108000
7,2646,3,60,2009,5,260000
5,969,2,20,2007,6,122000
5,1040,2,20,2009,5,152000
6,2142,1,60,2009,6,193500
8,1742,2,120,2006,5,275000
6,832,2,45,2008,6,105500
8,1554,2,120,2007,5,209500
6,1167,2,20,2009,6,173000
8,1924,2,60,2006,5,280000
6,1200,2,20,2007,5,177500
7,1969,2,60,2007,6,190000
4,864,0,20,2010,5,115000
5,1098,1,20,2008,7,135000
4,845,1,20,2009,3,84000
4,1529,1,50,2009,3,98000
5,1812,1,60,2007,5,169500
4,882,0,45,2007,6,103200
8,1768,2,60,2009,5,212000
7,1456,2,60,2008,5,189000
6,1839,2,20,2007,7,257500
5,1867,1,20,2009,5,190000
5,864,1,20,2008,7,127000
8,2417,2,60,2006,5,260000
8,1652,2,120,2007,5,251000
5,2200,0,90,2008,7,145900
1,334,0,20,2007,3,39300
6,1876,2,60,2008,6,185000
7,1442,2,20,2009,5,180500
7,1548,2,50,2009,7,205000
7,1557,2,120,2006,5,234000
7,1640,2,60,2008,5,183000
6,923,1,120,2010,5,143000
6,1556,2,60,2009,6,154000
6,1400,2,60,2006,7,149500
6,2054,2,60,2009,5,244000
5,1771,2,20,2009,4,115000
5,1268,1,40,2009,7,133000
5,990,2,20,2006,5,156000
6,838,1,30,2008,7,130000
7,1986,2,60,2009,6,205000
5,2008,1,20,2006,8,225000
8,1574,3,20,2008,5,232000
6,1298,2,20,2006,5,180000
8,1936,2,60,2006,5,230500
6,1489,1,50,2009,7,139500
8,1636,3,20,2007,5,255000
7,2418,3,60,2008,5,341000
4,1663,2,20,2008,6,256000
7,2287,2,50,2006,4,225000
6,958,2,120,2007,5,128000
6,1422,2,20,2008,6,175500
5,1040,1,20,2010,5,133000
5,1691,1,50,2010,6,127000
6,1196,2,50,2009,8,110000
7,1472,2,80,2009,5,187500
4,907,1,20,2008,6,109008
6,1796,2,60,2008,5,140000
5,1039,2,190,2010,4,131500
7,1720,2,60,2006,5,196500
6,1520,1,80,2010,6,153000
8,2452,3,60,2006,5,309000
7,2062,2,60,2007,5,277000
6,1644,2,20,2009,5,167000
6,1302,1,80,2007,7,158000
8,1296,2,20,2009,5,220000
7,1680,2,20,2009,5,213250
6,1244,1,20,2007,6,150000
7,1277,2,20,2007,5,167000
6,1412,2,20,2009,5,175000
5,894,1,20,2010,6,128200
5,1236,1,20,2006,6,134450
5,858,0,20,2010,7,116500
9,1800,2,20,2009,5,239000
5,858,2,85,2009,5,134900
6,1056,2,90,2010,5,144000
7,1200,2,20,2009,5,184900
6,1314,2,20,2007,5,176432
7,2035,2,60,2010,5,222500
6,1750,1,50,2008,7,160000
9,1842,3,20,2006,5,385000
5,864,2,20,2006,5,129900
5,900,2,20,2010,7,134800
8,2020,2,60,2009,5,239500
4,858,0,20,2006,4,88000
7,1482,2,80,2007,5,163900
5,1360,2,80,2007,5,130000
5,1020,0,50,2010,8,94000
6,1786,2,60,2007,5,204750
6,1350,2,20,2009,5,165000
7,1494,2,20,2008,5,221000
5,864,1,20,2009,6,133500
5,1264,2,20,2010,5,167500
5,1200,2,20,2006,8,146000
6,1479,2,60,2010,8,130500
6,1560,2,60,2009,5,174000
6,1217,1,160,2009,6,120000
8,1836,3,20,2009,5,280000
3,1306,0,30,2010,2,76500
6,1511,2,60,2006,5,185000
7,1472,2,80,2007,5,160000
8,1338,2,120,2010,5,213500
7,2022,2,60,2008,5,192000
5,1466,2,50,2006,8,170000
6,1640,2,20,2008,7,224000
6,932,1,20,2007,5,124000
6,1470,2,60,2007,6,177000
7,1661,2,60,2009,6,212000
5,1250,1,50,2006,7,116000
6,1425,2,20,2008,5,180500
6,2358,2,50,2008,8,240000
6,1212,2,20,2010,5,186000
5,1644,1,70,2007,7,146500
8,1801,3,60,2006,5,239900
8,1629,3,20,2007,5,270000
8,2872,2,50,2007,5,285000
7,1740,1,70,2007,6,219500
7,1314,2,120,2009,5,207500
8,1629,3,20,2009,5,284000
7,1836,2,20,2006,5,216837
7,1474,2,80,2009,5,168500
5,1701,2,85,2007,5,171000
4,1294,0,190,2008,7,106250
8,1989,2,60,2006,5,255000
8,1466,3,20,2009,5,201000
6,1026,2,80,2008,6,147000
5,1063,1,20,2010,5,128000
7,1446,2,60,2008,5,175000
8,2000,3,20,2007,5,305900
6,1004,2,20,2010,7,149000
7,2353,2,60,2009,7,260000
6,1375,2,20,2006,5,140000
5,1155,2,85,2010,7,148000
7,2519,2,60,2006,5,335000
2,438,1,30,2009,5,60000
6,1993,2,60,2006,5,190000
8,1852,3,60,2008,5,230000
8,2612,3,60,2009,5,336000
6,1756,2,60,2007,5,204000
6,1790,2,60,2006,5,165150
5,789,1,45,2007,5,96500
7,1430,2,80,2010,5,180000
5,1271,1,50,2008,5,135000
6,2087,2,60,2007,8,187500
7,1895,2,60,2008,5,194500
5,894,2,20,2006,5,142500
5,1392,2,20,2010,6,121500
6,1232,2,20,2008,6,162500
5,955,1,20,2007,7,127000
5,1203,1,50,2009,4,110000
8,1502,2,120,2010,5,212000
7,1621,2,20,2006,7,202500
5,3086,0,50,2007,6,200500
5,792,1,30,2009,8,109500
7,1654,3,20,2006,5,230000
10,2402,3,20,2009,5,555000
6,1855,2,80,2007,7,187000
6,1586,2,20,2009,5,181000
6,1635,2,50,2007,7,210000
7,1533,2,20,2006,5,280000
6,1392,2,20,2009,3,110000
5,1034,1,50,2007,6,109000
4,952,1,20,2008,7,135750
6,1683,2,60,2009,5,172500
7,1908,2,60,2008,5,210000
8,1288,2,120,2008,5,245500
8,1370,2,120,2007,5,202500
5,1121,2,20,2009,6,139000
5,1056,1,20,2007,7,139400
6,958,1,20,2007,8,151500
6,1671,2,60,2006,5,173000
6,1977,2,60,2007,6,165000
5,1340,1,20,2007,6,120000
6,1137,2,20,2006,6,176000
5,1526,1,20,2010,6,144500
7,1535,2,20,2010,5,214000
5,988,2,20,2007,5,128500
7,1720,2,60,2007,5,183500
5,1734,2,90,2009,5,126000
7,2403,1,70,2010,7,244400
5,1803,2,20,2006,4,155000
4,1132,2,20,2008,5,176000
8,2270,3,60,2010,7,290000
5,1048,1,20,2007,5,135000
6,1097,2,20,2010,5,152000
6,1651,2,20,2008,5,184000
7,1564,1,70,2009,7,174500
5,1056,1,20,2007,6,139000
7,1824,2,20,2007,5,302000
5,1159,1,20,2006,5,158000
6,1800,2,60,2009,5,179000
5,1362,2,50,2009,5,143000
5,894,2,20,2008,7,130000
5,882,2,20,2007,5,112500
7,1479,2,20,2007,5,226000
5,1065,2,20,2007,5,126500
6,1350,2,80,2008,5,168500
5,1680,2,90,2007,6,136905
7,1232,2,20,2009,5,194500
6,1476,2,60,2009,5,173500
7,1426,1,50,2007,8,189950
5,1040,0,20,2009,5,124000
5,936,1,20,2010,7,129000
3,1040,2,90,2009,4,92900
7,2019,2,70,2009,8,167500
5,1008,1,20,2007,7,134500
7,1644,2,80,2009,5,275000
6,1080,1,20,2008,7,136000
5,1265,2,80,2008,8,179900
6,1656,2,20,2010,5,215000
4,1180,1,30,2006,5,137500
8,1800,3,20,2006,5,312500
4,1120,2,20,2007,5,129000
8,1713,3,20,2009,5,274900
6,752,1,120,2010,5,125000
4,1220,2,20,2006,5,102000
6,1194,2,20,2006,6,159500
5,1376,1,50,2007,5,105000
7,2329,2,60,2008,5,262280
6,1481,2,60,2009,5,174000
8,1234,2,20,2008,5,179900
8,1689,3,20,2008,5,271000
7,1080,0,20,2008,5,141000
7,3082,2,75,2009,3,197000
4,1588,2,50,2008,4,134432
7,1661,2,20,2010,5,224900
5,924,2,50,2007,7,122900
7,1479,2,60,2007,9,184000
4,858,1,20,2007,6,110000
5,816,1,20,2006,7,129900
10,2392,3,20,2009,5,386250
5,938,1,20,2008,6,130250
5,1268,1,20,2009,7,143500
8,3279,3,60,2010,5,538000
7,1414,2,20,2010,5,185500
6,1215,1,20,2009,7,155000
6,1632,2,60,2008,8,173000
8,1718,3,20,2009,5,297000
5,1601,1,80,2008,6,140000
5,1432,2,80,2007,7,194000
6,988,2,80,2006,5,180000
5,954,1,30,2007,7,119750
4,864,2,20,2009,7,124500
6,1396,1,70,2007,7,153575
5,1092,1,20,2009,5,139000
4,1225,0,20,2010,5,128950
7,2110,2,60,2010,5,205000
5,1086,2,80,2006,5,159950
5,996,0,30,2008,6,108000
9,2153,3,60,2009,5,313000
6,2158,2,20,2007,7,243000
7,1484,2,20,2010,5,213000
5,894,2,20,2007,5,129000
5,1148,1,20,2006,7,123500
6,1575,2,120,2007,5,179200
6,864,1,20,2009,6,127500
8,2392,3,60,2006,5,348000
5,1308,1,50,2009,7,160000
5,912,1,20,2008,6,144000
4,2230,1,75,2006,5,118500
8,1088,2,120,2007,5,170000
5,1099,1,20,2008,6,144000
3,864,0,30,2008,3,67000
5,1456,1,50,2006,3,91500
7,1164,2,20,2006,5,140000
7,2236,2,60,2006,5,222000
7,1954,2,50,2008,9,311500
8,2113,3,20,2008,6,350000
5,1214,2,20,2007,7,140000
5,892,1,20,2009,5,100000
7,1820,1,50,2008,6,184000
7,2207,2,20,2010,5,180000
6,1660,1,70,2008,7,188700
8,1707,2,20,2006,6,228000
5,1050,1,20,2006,6,136500
6,1961,2,60,2009,5,215000
7,1506,2,120,2006,5,213490
5,912,1,20,2007,5,114500
7,1502,1,70,2008,6,149000
6,1253,1,20,2008,5,157000
10,1718,3,20,2009,5,337500
6,996,2,85,2010,6,147000
6,912,2,85,2007,6,156000
6,1441,2,160,2009,6,148500
3,944,2,20,2009,3,82000
5,1393,1,50,2008,7,135500
5,1040,1,20,2006,5,133700
7,1786,2,60,2008,5,223500
6,1478,2,20,2009,5,157500
4,1181,2,85,2008,5,137500
6,1322,2,160,2009,5,147000
9,1905,3,20,2007,5,320000
6,1096,0,50,2008,5,79000
5,2192,1,75,2008,8,179500
5,694,1,30,2007,6,90350
4,864,2,20,2008,5,111250
7,2295,2,60,2006,5,268000
4,605,0,30,2007,7,86000
5,1077,1,190,2008,6,118000
8,1563,3,20,2008,5,245000
5,1716,1,50,2009,4,131000
5,1057,2,20,2007,5,132000
6,1068,1,20,2006,8,154500
6,1577,1,50,2006,5,140200
9,1684,2,120,2008,5,266000
7,1588,2,20,2006,5,214000
7,1430,2,80,2007,5,170000
6,1679,2,20,2008,5,193500
3,1733,2,20,2009,5,139600
6,1611,2,60,2008,6,167900
4,1440,0,90,2008,4,118000
5,864,0,30,2008,6,98000
5,1522,0,50,2006,5,102000
6,1342,2,20,2009,5,161500
5,1040,2,20,2006,7,109500
7,2183,3,50,2006,5,229000
6,1291,2,120,2008,5,173000
4,864,2,20,2009,6,120500
7,2097,3,60,2008,5,228000
6,1657,2,20,2007,3,163500
9,2668,3,60,2008,5,412500
6,1796,2,60,2007,5,211000
5,999,1,20,2007,7,132500
5,1073,2,20,2007,7,156000
6,912,1,20,2008,8,142000
6,1429,2,20,2007,6,181900
5,1328,1,20,2007,6,170000
6,1279,2,20,2008,6,171500
5,816,1,20,2007,7,124500
6,1680,1,70,2008,7,177000
5,882,1,20,2007,7,106500
5,1178,2,20,2008,6,157000
7,2036,2,20,2009,5,375000
6,1456,2,160,2009,6,148500
5,902,2,20,2006,5,131000
7,1266,2,20,2008,5,159895
8,1337,2,120,2008,5,180000
5,780,1,20,2008,7,124900
5,1389,2,20,2006,5,170000
7,2344,3,60,2009,5,265000
7,1668,2,60,2007,5,180000
4,1067,2,20,2010,7,128000
7,2034,2,60,2009,5,219500
4,1040,2,20,2007,5,132250
6,1888,2,20,2010,6,190000
6,1509,2,60,2006,5,183200
4,1040,2,20,2006,5,109900
5,1696,1,20,2007,5,143900
6,1026,2,20,2009,8,156000
